pair_id,presented_label,extraction_text,char_start,char_end,alignment_status,image,valence,category,kind,used_in_judgment,direction,hedged,reason,label
unit_00001522,Same,"building in Image A looks slightly more ""distressed""",1138.0,1190.0,match_exact,A,,,upkeep,,,,,
unit_00006426,Same,typical branch library,959.0,981.0,match_exact,A,,,other,,,,,
unit_00004865,More,"doesn't necessarily mean ""poorly maintained"", it could be for renovation or structural safety",702.0,795.0,match_exact,B,,,upkeep,,,,,
unit_00007395,More,"If the library is the one behind the fence, it's hard to see.",1435.0,1496.0,match_exact,B,,,other,,,,,
unit_00002709_r1,Less,library in B looks like a much more significant and better-maintained public building compared to the modest brick structure in A,1624.0,1753.0,match_exact,B,,,upkeep,,,,,
unit_00007294,Same,newer or more recently renovated,1100.0,1132.0,match_exact,A,,,upkeep,,,,,
unit_00004869,Same,A is MuchLess,3868.0,3881.0,match_fuzzy,A,,,upkeep,,,,,
unit_00005433,More,"Image B looks a bit neglected/dirty, but undergoing restoration",3122.0,3185.0,match_exact,B,,,upkeep,,,,,
unit_00001523_r1,Less,newer facility or a well-kept public building,778.0,823.0,match_exact,B,,,quality,,,,,
unit_00007889,NotSure,building in Image A looks like a normal residential street,3070.0,3128.0,match_exact,A,,,other,,,,,
unit_00002016,Same,"a new building looks ""more"" maintained because it's new",2188.0,2243.0,match_exact,A,,,upkeep,,,,,
unit_00001967,Same,"usually requires more maintenance to keep looking ""perfect""",1223.0,1282.0,match_exact,A,,,upkeep,,,,,
unit_00004531,Same,higher standard of care,2562.0,2585.0,match_fuzzy,A,,,upkeep,,,,,
unit_00001464,Same,"Glass structures are notoriously harder to maintain perfectly (keeping it clean, etc.)",1150.0,1236.0,match_exact,B,,,upkeep,,,,,
unit_00009025,Same,historical/renovated feel,621.0,646.0,match_exact,B,,,other,,,,,
unit_00008618,More,"indicates construction, renovation, or repairs",602.0,648.0,match_exact,B,,,upkeep,,,,,
unit_00000195,Less,clearly a major public library,873.0,903.0,match_exact,B,,,class,,,,,
unit_00000480_r1,Same,"Image A seems ""better maintained"" in terms of aesthetic upkeep and modern standards",1405.0,1488.0,match_exact,A,,,upkeep,,,,,
unit_00004964,Same,grand historic buildings like those in Image A require significant maintenance to stay looking that good,1438.0,1542.0,match_exact,A,,,upkeep,,,,,
unit_00000177,Less,not very well-maintained,1037.0,1061.0,match_exact,A,,,upkeep,,,,,
