pair_id,presented_label,extraction_text,char_start,char_end,alignment_status,image,valence,category,kind,used_in_judgment,direction,hedged,reason,label
pair_00003742,More,high-traffic thoroughfare,650.0,675.0,match_exact,B,,,other,,,,,
pair_00005407,More,Image B has construction which might imply issues being fixed,2556.0,2617.0,match_exact,B,,,upkeep,,,,,
pair_00007647_r1,More,might indicate a need for repair or maintenance,638.0,685.0,match_fuzzy,A,,,upkeep,,,,,
pair_00008946,More,typical city street with cars parked on both sides,1063.0,1113.0,match_exact,B,,,other,,,,,
pair_00001642_r1,Less,overall surface looks newer or more regularly maintained,563.0,619.0,match_exact,B,,,upkeep,,,,,
pair_00002825,More,asphalt (Image A) is usually considered in better condition for smooth driving,726.0,804.0,match_exact,both,,,quality,,,,,
pair_00005592_r1,More,Image A looks like a main boulevard,982.0,1017.0,match_exact,A,,,other,,,,,
pair_00000887,Same,standard city street,582.0,602.0,match_exact,B,,,other,,,,,
pair_00003513,More,private or very well-maintained driveway/cul-de-sac area,540.0,596.0,match_exact,A,,,upkeep,,,,,
pair_00009151,Less,Image B's asphalt looks newer/better maintained than Image A's,944.0,1006.0,match_exact,both,,,upkeep,,,,,
pair_00001962,More,highways have more cracks and repairs due to heavy truck traffic,924.0,988.0,match_exact,B,,,upkeep,,,,,
pair_00003645,More,Image A might be slightly better maintained because it's part of a more modern/renovated area,1607.0,1700.0,match_exact,A,,,upkeep,,,,,
pair_00006761,MuchMore,well-maintained overall,273.0,296.0,match_exact,A,,,upkeep,,,,,
pair_00000229,More,"Image A's area looks more like a side-road or parking space, which is generally in better condition than a main city thoroughfare like in Image B",1783.0,1928.0,match_exact,A,,,upkeep,,,,,
pair_00008128,More,it might just be a temporary setup,1444.0,1478.0,match_exact,A,,,other,,,,,
pair_00009203,Less,Image B roadway looks like it was repaved more recently and is in better condition,535.0,617.0,match_exact,B,,,upkeep,,,,,
pair_00003143,MuchMore,City streets often have more wear and tear,731.0,773.0,match_exact,both,,,other,,,,,
pair_00001132,More,higher-traffic urban area,679.0,704.0,match_exact,B,,,other,,,,,
pair_00009607_r1,More,typical well-maintained residential street,380.0,422.0,match_exact,A,,,upkeep,,,,,
pair_00000041,Less,"high-quality, well-maintained highway",714.0,751.0,match_exact,B,,,quality,,,,,
