pair_id,presented_label,extraction_text,char_start,char_end,alignment_status,image,valence,category,kind,used_in_judgment,direction,hedged,reason,label
unit_00006246,More,"high-end, modern educational facility",901.0,938.0,match_exact,A,,,wealth,,,,,
unit_00005572,Less,"standard, perhaps slightly dated, urban school building",412.0,467.0,match_exact,A,,,quality,,,,,
unit_00003588_r1,More,Image B looks like a small religious school,2830.0,2873.0,match_exact,B,,,quality,,,,,
unit_00004002,Less,"much newer, possibly higher-end facility",1122.0,1162.0,match_exact,B,,,class,,,,,
unit_00006964,Less,maintenance or renovation,317.0,342.0,match_exact,A,,,upkeep,,,,,
unit_00007334,More,might be the lower level of a school or a school that has been modified for security,1413.0,1497.0,match_exact,B,,,other,,,,,
unit_00000147,More,Image B looks like a church/apartment complex where a school might be tucked away,1854.0,1935.0,match_exact,B,,,other,,,,,
unit_00001259,Less,Image B looks much nicer/more modern than Image A,1472.0,1521.0,match_exact,both,,,quality,,,,,
unit_00008812,Less,well-funded environment,1123.0,1146.0,match_exact,B,,,wealth,,,,,
unit_00007220_r1,Same,a smaller one might imply more personal attention,1487.0,1536.0,match_exact,A,,,quality,,,,,
unit_00000336_r1,More,"traditional, established public school building",816.0,863.0,match_exact,A,,,other,,,,,
unit_00000700,NotSure,better than a storage unit for a child,866.0,904.0,match_exact,B,,,other,,,,,
unit_00004559,Less,private school or a very prestigious public school,676.0,726.0,match_exact,B,,,class,,,,,
unit_00002294,Less,industrial or repurposed building,207.0,240.0,match_exact,A,,,other,,,,,
unit_00003588,More,"has a more ""educational"" feel because of the name ""LEARNING ACADEMY""",4368.0,4436.0,match_exact,B,,,other,,,,,
unit_00006750,More,"Image A's school looks like a cozy, community-based school",2110.0,2168.0,match_exact,A,,,quality,,,,,
unit_00003650,MuchLess,not a school currently in use or a welcoming environment for children,420.0,489.0,match_exact,A,,,quality,,,,,
unit_00007826,Same,high-quality urban school,527.0,552.0,match_exact,B,,,quality,,,,,
unit_00006179,Same,typical urban public school,300.0,327.0,match_exact,A,,,other,,,,,
unit_00002081,Less,"modern facilities with dedicated space and security are preferred over older, mixed-use looking buildings for safety and resources",1035.0,1165.0,match_exact,both,,,safety,,,,,
