pair_id,presented_label,extraction_text,char_start,char_end,alignment_status,image,valence,category,kind,used_in_judgment,direction,hedged,reason,label
unit_00006318,Less,"doesn't look like a particularly ""safe"" environment",529.0,580.0,match_exact,A,,,safety,,,,,
unit_00001700,Same,safer/better lit/more populated,2108.0,2139.0,match_exact,A,,,safety,,,,,
unit_00003355,Same,more exposed to the street,761.0,787.0,match_fuzzy,A,,,safety,,,,,
unit_00009238,Same,"standard, well-maintained neighborhood station",1064.0,1110.0,match_exact,A,,,upkeep,,,,,
unit_00004461,Same,"standard street-level entrance (A) might be considered ""safer"" or ""better"" than one obscured by heavy construction/overhangs (B)",1798.0,1926.0,match_exact,both,,,safety,,,,,
unit_00008007,Same,"This could make it harder for people to see or navigate safely, especially for those with disabilities or in a hurry",1278.0,1394.0,match_exact,B,,,safety,,,,,
unit_00008357,Same,hazardous due to traffic,1129.0,1153.0,match_exact,B,,,safety,,,,,
unit_00000226,Less,"being in a wide open space with people around (Image B) is generally safer than being in a narrow, walled-in area with limited visibility (Image A)",1356.0,1503.0,match_exact,both,,,safety,,,,,
unit_00002667_r1,NotSure,major thoroughfares with dedicated lanes and fences are considered safer for pedestrians than narrow streets with cars parked right next to the entrance,3535.0,3687.0,match_exact,both,,,safety,,,,,
unit_00005340,Same,might be perceived as safer,2047.0,2074.0,match_exact,B,,,safety,,,,,
unit_00000926,Less,Image B looks much brighter and safer,3122.0,3159.0,match_exact,B,,,safety,,,,,
unit_00006306,Less,Let's look for any hazards,4657.0,4683.0,match_fuzzy,both,,,safety,,,,,
unit_00000825,Same,Safety in these contexts is subjective and depends on specific local crime rates or traffic patterns which aren't visible,1024.0,1145.0,match_exact,both,,,other,,,,,
unit_00007849,Same,Image A looks like a standard subway entrance in a somewhat open area,3271.0,3340.0,match_exact,A,,,other,,,,,
unit_00009954,Same,slightly cluttered or under maintenance,558.0,597.0,match_exact,A,,,safety,,,,,
unit_00002433,Same,can sometimes feel less safe due to less visibility,804.0,855.0,match_exact,A,,,safety,,,,,
unit_00003428,Same,Image B has an NYPD car. That's a big safety signal,3404.0,3455.0,match_fuzzy,B,,,safety,,,,,
unit_00008570,Less,higher level of safety,868.0,890.0,match_fuzzy,B,,,safety,,,,,
unit_00005066,Same,"Image A is ""More"" safe because of the canopy",3067.0,3111.0,match_fuzzy,A,,,safety,,,,,
unit_00001463,Less,"Construction zones can be hazardous due to falling objects, uneven ground, and heavy machinery",372.0,466.0,match_exact,A,,,safety,,,,,
